id,observed_on,user_id,url,image_url,description,latitude,longitude,scientific_name
49559,2012-01-29,2179,http://www.inaturalist.org/observations/49559,https://inaturalist-open-data.s3.amazonaws.com/photos/79284/medium.jpg,"",34.0455703735,-118.7536315918,Diplacus longiflorus
97604,2012-06-26,7977,http://www.inaturalist.org/observations/97604,https://static.inaturalist.org/photos/141735/medium.jpg,"",34.1848423,-118.0954422,Diplacus longiflorus
270348,2013-05-04,14744,http://www.inaturalist.org/observations/270348,https://static.inaturalist.org/photos/334351/medium.jpg,"",36.070817,-121.582432,Diplacus linearis
289006,2013-06-04,16546,http://www.inaturalist.org/observations/289006,https://inaturalist-open-data.s3.amazonaws.com/photos/357651/medium.jpg,"",34.184842,-118.095442,Diplacus longiflorus
307160,2013-06-21,9545,http://www.inaturalist.org/observations/307160,https://inaturalist-open-data.s3.amazonaws.com/photos/381027/medium.jpg,"",34.213263,-118.123311,Diplacus longiflorus
644017,2014-04-26,24523,http://www.inaturalist.org/observations/644017,https://inaturalist-open-data.s3.amazonaws.com/photos/811214/medium.jpg,"",34.1157946226,-118.7563181797,Diplacus longiflorus
692326,2014-05-22,38842,http://www.inaturalist.org/observations/692326,https://inaturalist-open-data.s3.amazonaws.com/photos/869884/medium.jpg,"-Eaton Canyon, Pasadena, CA, USA
-It have sharp leaves
-Found in a light dry area
-Soil nearby
",34.181944,-118.097034,Diplacus longiflorus
708532,2014-05-25,382,http://www.inaturalist.org/observations/708532,https://inaturalist-open-data.s3.amazonaws.com/photos/890349/medium.jpg,"",34.375909,-118.463731,Diplacus longiflorus
724616,2014-06-06,13979,http://www.inaturalist.org/observations/724616,https://inaturalist-open-data.s3.amazonaws.com/photos/910125/medium.jpg,"",36.069867,-121.598992,Diplacus linearis
750650,2014-06-17,39717,http://www.inaturalist.org/observations/750650,https://inaturalist-open-data.s3.amazonaws.com/photos/943485/medium.jpg,Monkey Plant,34.196057,-118.026694,Diplacus longiflorus
778389,2014-07-09,39728,http://www.inaturalist.org/observations/778389,https://inaturalist-open-data.s3.amazonaws.com/photos/978082/medium.JPG,,34.145789,-118.960539,Diplacus longiflorus
801420,2005-02-13,45595,http://www.inaturalist.org/observations/801420,https://inaturalist-open-data.s3.amazonaws.com/photos/1009313/medium.jpg,"",34.008595,-119.697101,Diplacus longiflorus
884401,2014-09-16,49543,http://www.inaturalist.org/observations/884401,https://static.inaturalist.org/photos/1123245/medium.jpg,"Sticky monkey flower. Leaves under direct sunlight were dried, turned more yellow and curl backward. When squeezed the leaf feels sticky on fingers.",34.177072,-118.097116,Diplacus longiflorus
890551,2014-09-16,52346,http://www.inaturalist.org/observations/890551,https://inaturalist-open-data.s3.amazonaws.com/photos/1131585/medium.jpg,,34.1805156274,-118.0946513918,Diplacus longiflorus
1248431,2015-02-17,72334,http://www.inaturalist.org/observations/1248431,https://inaturalist-open-data.s3.amazonaws.com/photos/1567052/medium.jpg,"Also called Sticky Monkey Flower, this small shrub is in the Phrymaceae family. The leaves of this plant are long and thin and are covered in wrinkles. The leaves are   sticky, which is how it got its name. A few Arroy Willow seeds can be seen stuck to this plant due to the sticky nature of its leaves. The Sticky Monkey Flower in the bottom left of the photo is in better focus than the one in the center.",34.187595,-118.101032,Diplacus longiflorus
1255394,2015-02-21,74065,http://www.inaturalist.org/observations/1255394,https://inaturalist-open-data.s3.amazonaws.com/photos/1575964/medium.jpg,,33.771023,-118.326149,Diplacus longiflorus
1291549,2015-03-10,81102,http://www.inaturalist.org/observations/1291549,https://static.inaturalist.org/photos/1620264/medium.jpg,"These plants are named for their funny-face-flowers that look like grinning Monkeys. The genus Mimulus is named for the Latin mimus, a comic actor or mime.
The Miwok and Pomo Native Americans used its flowers and roots to treat a number of ailments, but was particularly useful for its antiseptic qualities as it expedited the healing of minor scrapes and burns.
The more you know...*",34.08652,-118.508985,Diplacus longiflorus
1309873,2015-03-21,65924,http://www.inaturalist.org/observations/1309873,https://inaturalist-open-data.s3.amazonaws.com/photos/1644138/medium.jpg,"",34.10624222,-118.41323928,Diplacus longiflorus
1365560,2015-03-03,70612,http://www.inaturalist.org/observations/1365560,https://inaturalist-open-data.s3.amazonaws.com/photos/1689074/medium.jpg,"",34.192124,-118.104098,Diplacus longiflorus
